-0.224255,-0.820434,2.49658,3.02627,1.52403
0.320954,-0.820295,2.53541,3.0825,1.91044
-0.432835,-0.646269,2.42694,2.87317,1.86504
-0.22214,-0.689331,1.92792,2.91189,1.74551
-0.218962,-0.691143,1.92889,2.91602,1.92748
-0.184196,-0.757333,2.93667,2.82658,3.04653
-0.0548653,-0.702629,2.52139,2.91243,1.23233
0.38746,-0.70123,2.77174,3.04095,0.863844
0.388241,-0.698556,2.75512,3.05909,1.78641
-0.15559,-0.699634,2.21605,3.10417,2.92415
-0.168075,-0.698439,2.22471,3.10541,1.66767
0.0690015,-0.77395,2.05077,2.61184,1.1928
0.247557,-0.828977,2.70956,3.03887,1.59398
0.211593,-0.885618,2.77895,2.7774,1.40146
0.298599,-1.07811,2.83862,3.01499,1.50463
0.30185,-1.07134,2.82251,3.03539,1.53441
-0.143764,-0.773985,2.28357,3.12128,2.66483
-0.138602,-0.831879,2.3226,2.75091,1.2328
-0.66275,-0.804771,2.59225,2.79519,1.40887
0.154437,-0.791131,2.56648,2.85483,2.51242
0.146258,-0.790211,2.56838,2.8664,1.2597
-0.463563,-0.768021,3.1004,2.96143,2.3402
-0.10411,-0.755557,2.06359,2.92894,1.58359
0.494695,-0.823168,2.84504,3.00468,1.23506
-0.0992074,-0.770563,2.07324,2.93684,1.51265
0.168991,-0.792952,2.58349,2.7618,1.38555
-0.220183,-0.884164,2.96088,2.81349,1.11989
-0.169095,-0.807278,2.20634,3.09744,2.02943
0.0300928,-0.796412,2.30081,2.74752,2.2596
-0.128049,-0.659435,2.14353,3.0861,1.56975
-0.111931,-0.651645,2.16585,3.11375,2.25047
-0.441066,-0.647091,2.42559,2.88032,1.63861
